tconst;tmdb_id;acteur_principal_;actor_image_url
tt0053848;18642;Elvis Presley;https://image.tmdb.org/t/p/w500/psf1wJUw48ALsfV3tN31FX0mDW5.jpg
tt0053849;99345;James Cagney;https://image.tmdb.org/t/p/w500/haDKecHGGb1qh8gAoR3ExiJlujn.jpg
tt0053865;135748;Anne Francis;https://image.tmdb.org/t/p/w500/hcckb43OvvQbrdqOotqWcvLPXbg.jpg
tt0053872;70291;Jean-Claude Brialy;https://image.tmdb.org/t/p/w500/8eAz3iwsHLWRstqasUxdd8KnuPR.jpg
tt0053877;25767;Cary Grant;https://image.tmdb.org/t/p/w500/rUaQTKw7hNcEvZyFaahIpqiiiWv.jpg
tt0053879;63887;Tony Curtis;https://image.tmdb.org/t/p/w500/6Pj1XkYdI5Wc40Jl0UxJk8PPwlY.jpg
tt0053882;18974;Kerwin Mathews;https://image.tmdb.org/t/p/w500/m1sBtAUgD1qg9YNsvqF36sMVpuQ.jpg
tt0053884;262780;Alan Ladd;https://image.tmdb.org/t/p/w500/uGB0o5okVhsS7ogtwwEXmbtRF2k.jpg
tt0053899;118653;Audie Murphy;https://image.tmdb.org/t/p/w500/1ljBPY1utBfHSYiT1KZc9rFfBud.jpg
tt0053900;28784;Stanley Baker;https://image.tmdb.org/t/p/w500/gpQD0tetGSWWTQvr3xphHs5H6Xs.jpg
tt0053901;43034;Jeffrey Hunter;https://image.tmdb.org/t/p/w500/xbL9FuZ7hFPzNUAy7p6aNQTNVxr.jpg
tt0053902;43035;Sophia Loren;https://image.tmdb.org/t/p/w500/lxhkn933v8EuBHvfTWSS5SQQnJ4.jpg
tt0053903;95029;Keith Michell;https://image.tmdb.org/t/p/w500/96CdOGsJ7JfdOxMm5Jw4jeoWCc3.jpg
tt0053912;104602;Bing Crosby;https://image.tmdb.org/t/p/w500/wl3k3h5dgpukwaT1sMPqR4ANrzq.jpg
tt0053917;89484;Robert Mitchum;https://image.tmdb.org/t/p/w500/l0It7MePd9cwgqHR3JQAYD6YMg9.jpg
tt0053936;39581;Richard Burton;https://image.tmdb.org/t/p/w500/j8yRSo6S2bnYubKZTBUvD7fuOyX.jpg
tt0053946;1908;Spencer Tracy;https://image.tmdb.org/t/p/w500/aUZUlQjiWvl23stKXzxycb31sen.jpg
tt0053957;38151;Clark Gable;https://image.tmdb.org/t/p/w500/qD6WJzydym7n7fCeL9PGnHe1aEV.jpg
tt0053958;43043;Jayne Mansfield;https://image.tmdb.org/t/p/w500/mlBXHFWp50rIwSuuojKCoB5SVwN.jpg
tt0053964;269125;Jean-Louis Maury;https://image.tmdb.org/t/p/w500/5oJpzZPkBfCCuNKi7oJHJZqAZ6r.jpg
tt0053967;35030;Zachary Scott;https://image.tmdb.org/t/p/w500/xpaQEamAxrDU0yrbol8MERwcIJt.jpg
tt0053993;86226;Jeffrey Hunter;https://image.tmdb.org/t/p/w500/xbL9FuZ7hFPzNUAy7p6aNQTNVxr.jpg
tt0053994;43037;Peter Finch;https://image.tmdb.org/t/p/w500/uwIimbLsEGMkqsEGtYCSKXoWZag.jpg
tt0054013;124324;Steve Reeves;https://image.tmdb.org/t/p/w500/dx8W2trlVTImQ5qbOfjwZZTlfTy.jpg
tt0054016;37605;Robert Stack;https://image.tmdb.org/t/p/w500/f1MchlCMVc4LDWEALsodZHPkbIu.jpg
tt0054021;116385;Burl Ives;https://image.tmdb.org/t/p/w500/qRefQVFPdXwkHLLgDLFPeRgcLu4.jpg
tt0054022;24014;Marilyn Monroe;https://image.tmdb.org/t/p/w500/pw7oKwzzuBQsxVKDJUejYIKkRiE.jpg
tt0054025;198961;Martin Held;https://image.tmdb.org/t/p/w500/7XeM0lrEsONxDSV2wqXOlKsdjq4.jpg
tt0054037;68198;Richard Todd;https://image.tmdb.org/t/p/w500/3HRtRwg4PB3IeYkco9bXsQ6XBUr.jpg
tt0054038;2982;Michael Rennie;https://image.tmdb.org/t/p/w500/gDEqpcYQDuKp35AF0ZrEfNwEujV.jpg
tt0054041;103185;Lurene Tuttle;https://image.tmdb.org/t/p/w500/t0dLpAfrSECNGjtGsGiO4SQquVW.jpg
tt0054045;219004;Walter Reed;https://image.tmdb.org/t/p/w500/e6smBlNUgVXIR3QGHI6yTndHQRo.jpg
tt0054047;966;Yul Brynner;https://image.tmdb.org/t/p/w500/8D1cJIcImp8UZWLjqn2aNrqfloM.jpg
tt0054049;44023;Terry-Thomas;https://image.tmdb.org/t/p/w500/NKPVvPZy9NNYES1fhwuhLquHhI.jpg
tt0054053;188744;Trevor Howard;https://image.tmdb.org/t/p/w500/6HDJGXcedqyHx7oCPtUdCXn4z76.jpg
tt0054058;50378;Ernest Borgnine;https://image.tmdb.org/t/p/w500/vlq94UdNfjLnd9DAkKC94vKLfJJ.jpg
